# BME688 cage-odor heater-sweep log
# firmware_version,cage-odor-1.2.0
# session_start_iso,(no RTC)
# session_start_unix,0
# rtc_present,0
# sensors_detected,8 of 8
# sensor,0,logical_id,0,enabled,1,ok,1,unique_id,0x2ED18B51
# sensor,1,logical_id,1,enabled,1,ok,1,unique_id,0x2ED19951
# sensor,2,logical_id,2,enabled,1,ok,1,unique_id,0x2ED19B51
# sensor,3,logical_id,3,enabled,1,ok,1,unique_id,0x2ED19D51
# sensor,4,logical_id,4,enabled,1,ok,1,unique_id,0x2ED1A051
# sensor,5,logical_id,5,enabled,1,ok,1,unique_id,0x2ED1A251
# sensor,6,logical_id,6,enabled,1,ok,1,unique_id,0x2ED1A451
# sensor,7,logical_id,7,enabled,1,ok,1,unique_id,0x2ED19C4A
# profile_rotate_ms,120000
# n_profiles,4
# profile,0,bosch_default,meas_dur_ms,140,temps,320 100 100 100 200 200 200 320 320 320,muls,5 2 10 30 5 5 5 5 5 5
# profile,1,ramp_200_350,meas_dur_ms,140,temps,200 217 233 250 267 283 300 317 333 350,muls,10 10 10 10 10 10 10 10 10 10
# profile,2,ramp_short_dwell,meas_dur_ms,140,temps,200 217 233 250 267 283 300 317 333 350,muls,3 3 3 3 3 3 3 3 3 3
# profile,3,ramp_long_dwell,meas_dur_ms,300,temps,200 217 233 250 267 283 300 317 333 350,muls,20 20 20 20 20 20 20 20 20 20
#
timestamp_iso,millis,unix_time,label,label_name,marker,sensor_idx,logical_id,profile_id,profile_name,profile_cycle,heater_step,heater_temp_c,heater_dur_ms,gas_resistance_ohm,temperature_c,humidity_pct,pressure_pa,idac,res_heat,gas_wait_reg,status,gas_valid,heat_stable,meas_index,skipped
,16844,0,0,UNKNOWN,session_start,,,0,bosch_default,0,,,,,,,,,,,,,,
,16928,0,0,UNKNOWN,profile_change,,,0,bosch_default,1,,,,,,,,,,,,,,
,20858,0,0,UNKNOWN,,1,1,0,bosch_default,1,3,100,2970,8928610.00,36.982,23.232,100101.60,0,51,30,128,0,0,27,0
,22679,0,0,UNKNOWN,,2,2,0,bosch_default,1,3,100,2970,10320630.00,37.525,23.247,100099.79,0,52,30,144,0,1,40,0
,23240,0,0,UNKNOWN,,0,0,0,bosch_default,1,3,100,2970,9039448.00,36.928,23.738,100088.35,0,52,30,144,0,1,44,0
,24646,0,0,UNKNOWN,,6,6,0,bosch_default,1,5,200,495,717589.37,37.752,24.757,100111.80,0,80,5,144,0,1,54,0
,27026,0,0,UNKNOWN,,4,4,0,bosch_default,1,8,320,495,191509.25,38.765,24.459,100114.21,171,110,5,176,1,1,71,0
,28425,0,0,UNKNOWN,,3,3,0,bosch_default,1,0,320,495,219884.05,39.218,23.532,100106.47,169,107,5,176,1,1,81,0
,29126,0,0,UNKNOWN,,1,1,0,bosch_default,1,2,100,990,16709842.00,37.472,23.434,100103.24,92,51,10,128,0,0,87,59
,30951,0,0,UNKNOWN,,7,7,0,bosch_default,1,3,100,2970,19781466.00,37.369,22.563,100100.78,97,50,30,144,0,1,99,0
,31565,0,1,CLEAN,label_change,,,0,bosch_default,1,,,,,,,,,,,,,,
,33188,0,1,CLEAN,,2,2,0,bosch_default,1,3,100,2970,18063948.00,37.405,22.993,100098.71,92,52,30,128,0,0,116,75
,35574,0,1,CLEAN,,6,6,0,bosch_default,1,5,200,495,1216513.25,37.757,23.524,100110.84,139,80,5,176,1,1,133,78
,36833,0,1,CLEAN,,5,5,0,bosch_default,1,7,320,495,963991.50,38.224,23.659,100094.16,171,105,5,128,0,0,141,0
,37250,0,1,CLEAN,,1,1,0,bosch_default,1,8,320,495,130445.86,38.152,24.213,100101.39,169,105,5,144,0,1,146,58
,37391,0,1,CLEAN,,0,0,0,bosch_default,1,8,320,495,131147.55,37.954,23.896,100086.95,177,107,5,144,0,1,146,101
,42996,0,1,CLEAN,,4,4,0,bosch_default,1,3,100,2970,35055364.00,36.907,23.342,100124.10,94,54,30,144,0,1,186,114
,43656,0,2,SOILED,label_change,,,0,bosch_default,1,,,,,,,,,,,,,,
,43695,0,2,SOILED,,2,2,0,bosch_default,1,3,100,2970,21969830.00,37.006,23.554,100106.20,92,52,30,144,0,1,192,75
,45375,0,2,SOILED,,1,1,0,bosch_default,1,4,200,495,933667.63,37.017,25.482,100107.41,136,76,5,176,1,1,205,58
,46921,0,2,SOILED,,6,6,0,bosch_default,1,6,200,495,1030959.00,37.584,25.145,100118.95,139,80,5,176,1,1,215,81
,47339,0,2,SOILED,,3,3,0,bosch_default,1,7,320,495,1020937.19,37.740,26.291,100112.65,169,107,5,144,0,1,217,135
,49304,0,2,SOILED,,7,7,0,bosch_default,1,0,320,495,87401.84,38.395,25.708,100107.88,180,105,5,144,0,1,231,131
,51821,0,2,SOILED,,0,0,0,bosch_default,1,3,100,2970,2548848.75,36.223,29.106,100093.91,98,52,30,144,0,1,250,103
,53361,0,2,SOILED,,1,1,0,bosch_default,1,3,100,2970,2486191.25,36.186,29.314,100112.58,92,51,30,144,0,1,7,57
